image_name,inference_values
010011.jpg,"(499.88330078125,492.65032958984375,611.626708984375,736.4616088867188 , 0.8693869113922119)"
010033.jpg,"(404.54754638671875,504.928466796875,495.4285888671875,666.2572021484375 , 0.719105064868927) | (862.6937255859375,410.5838623046875,989.5936279296875,649.0330810546875 , 0.7103198170661926) | (366.83135986328125,648.43701171875,516.6261596679688,860.042236328125 , 0.6426243782043457) | (1101.859375,406.0310974121094,1199.12890625,645.9923095703125 , 0.5828693509101868) | (468.4373779296875,633.0858154296875,527.0494384765625,715.4315185546875 , 0.3332180678844452)"
010047.jpg,"(169.5392608642578,347.85577392578125,246.7196502685547,583.850830078125 , 0.8765903115272522) | (416.00140380859375,690.518798828125,545.9679565429688,932.68017578125 , 0.8024651408195496) | (0.12944793701171875,436.73175048828125,66.55855560302734,662.7575073242188 , 0.7966700792312622)"
010056.jpg,"(467.6890563964844,666.041748046875,593.6031494140625,914.75341796875 , 0.890497624874115) | (683.428955078125,608.4959716796875,790.337158203125,854.1956787109375 , 0.8584299087524414) | (325.3311767578125,644.8388671875,433.68353271484375,900.801513671875 , 0.8331868052482605) | (869.6025390625,580.2193603515625,981.1845703125,872.3416748046875 , 0.4480285942554474) | (1218.2054443359375,284.67962646484375,1279.5474853515625,510.70654296875 , 0.34831881523132324) | (844.169921875,588.92919921875,942.7593994140625,883.181396484375 , 0.28493359684944153)"
010058.jpg,"(600.9382934570312,426.218017578125,721.1813354492188,702.37841796875 , 0.8832157850265503) | (517.0751953125,379.31634521484375,602.427490234375,620.0174560546875 , 0.7848179936408997) | (940.0888671875,591.781982421875,1046.4775390625,788.238037109375 , 0.7663507461547852)"
010073.jpg,"(583.332275390625,591.8594970703125,677.6370849609375,825.7037353515625 , 0.7860166430473328)"
010078.jpg,"(158.19625854492188,291.52105712890625,270.978515625,530.4044799804688 , 0.8725501298904419) | (84.43673706054688,792.0810546875,168.95974731445312,1023.390380859375 , 0.8698447346687317) | (1050.960205078125,326.52838134765625,1166.344970703125,529.6611938476562 , 0.7864935994148254) | (738.601806640625,479.158447265625,791.7252197265625,726.6851806640625 , 0.7406317591667175)"
010082.jpg,"(275.0477294921875,537.5870361328125,410.251708984375,751.7152099609375 , 0.6887089014053345) | (1097.2730712890625,416.2891845703125,1215.3714599609375,636.6673583984375 , 0.34032461047172546)"
010084.jpg,"(283.3647155761719,133.33847045898438,353.9890441894531,333.77496337890625 , 0.7884564995765686) | (1062.26416015625,328.48760986328125,1156.04248046875,525.0724487304688 , 0.6791780591011047) | (330.94561767578125,130.98175048828125,411.20428466796875,360.4492492675781 , 0.6579682230949402) | (929.193115234375,197.0868682861328,990.2337646484375,416.34613037109375 , 0.5603106021881104) | (360.0508728027344,347.621826171875,434.3134460449219,581.2000122070312 , 0.3697153627872467)"
010088.jpg,"(376.39398193359375,650.3594360351562,495.16656494140625,912.0138549804688 , 0.8578794598579407) | (770.0469970703125,299.5072021484375,857.6798095703125,576.4993896484375 , 0.7641829252243042) | (548.630859375,312.2021484375,620.338134765625,553.3939208984375 , 0.7191178798675537) | (256.4117431640625,153.69818115234375,319.12274169921875,378.5186767578125 , 0.5732743144035339) | (688.7347412109375,439.5535888671875,765.3232421875,673.4825439453125 , 0.5686727166175842) | (305.56939697265625,652.0213623046875,385.84820556640625,787.3096923828125 , 0.486814945936203) | (1028.70166015625,413.36846923828125,1132.73681640625,556.2622680664062 , 0.4707988500595093) | (301.17071533203125,177.87567138671875,378.43646240234375,385.127197265625 , 0.42647847533226013) | (849.1165771484375,302.23248291015625,929.588623046875,558.9382934570312 , 0.395160049200058) | (649.8404541015625,434.4462890625,766.5338134765625,703.2769775390625 , 0.35241395235061646) | (650.3350830078125,436.2230224609375,727.1004638671875,702.803466796875 , 0.3176349103450775)"
010097.jpg,"(1054.947265625,116.67849731445312,1151.81640625,326.1412353515625 , 0.3231905400753021)"
010105.jpg,"(235.26951599121094,367.2745361328125,324.5618896484375,597.6455688476562 , 0.8370253443717957) | (109.28736114501953,217.01695251464844,178.760009765625,417.6055908203125 , 0.807508647441864) | (314.675537109375,396.6289367675781,378.8807373046875,628.43896484375 , 0.8071954250335693) | (206.52877807617188,629.8353271484375,350.7473449707031,835.7691650390625 , 0.7102149128913879)"
010145.jpg,"(910.3723754882812,361.06890869140625,976.4240112304688,580.7285766601562 , 0.8785266280174255) | (773.28466796875,301.7705078125,887.810546875,566.9676513671875 , 0.6722703576087952)"
010151.jpg,"(1201.854248046875,601.9693603515625,1279.429931640625,871.7576904296875 , 0.8791020512580872) | (1128.485107421875,374.38751220703125,1242.281982421875,601.185791015625 , 0.8241563439369202) | (849.7326049804688,404.1017150878906,956.2128295898438,654.3782958984375 , 0.8091440796852112) | (348.7353515625,529.3477783203125,444.2525634765625,742.9793701171875 , 0.6728951334953308)"
010164.jpg,"(848.4080200195312,403.2021484375,958.1527709960938,654.616943359375 , 0.8238094449043274) | (547.859375,509.6623229980469,668.2236328125,730.517333984375 , 0.6322430968284607)"
010195.jpg,"(119.89553833007812,701.0418090820312,259.59808349609375,943.2241821289062 , 0.9038066267967224) | (0.12577438354492188,721.6502685546875,38.08944320678711,961.5626220703125 , 0.7853943705558777) | (253.15182495117188,718.3359375,359.3417053222656,956.2763671875 , 0.6939689517021179)"
010218.jpg,"(1110.5478515625,95.33991241455078,1193.76611328125,337.025390625 , 0.6521267890930176) | (47.54669189453125,690.2869873046875,195.65866088867188,897.4351806640625 , 0.6298466324806213) | (1046.1083984375,61.173866271972656,1116.49853515625,287.2789611816406 , 0.5333249568939209) | (7.8348846435546875,317.0640869140625,89.97882080078125,537.4673461914062 , 0.4381919503211975)"
010230.jpg,"(468.5054016113281,368.45758056640625,557.0712890625,609.4830322265625 , 0.8741058111190796) | (698.994140625,361.210693359375,762.7769775390625,586.1302490234375 , 0.8082806468009949) | (283.15057373046875,429.9193115234375,358.86553955078125,660.2255859375 , 0.7790638208389282) | (353.19842529296875,396.17669677734375,426.760986328125,626.788330078125 , 0.7447366118431091) | (1080.8321533203125,69.7271728515625,1154.2022705078125,274.6228942871094 , 0.7160995006561279) | (956.187744140625,429.63555908203125,1012.8330078125,663.9094848632812 , 0.6106993556022644)"
010254.jpg,"(134.14468383789062,115.25225830078125,249.96298217773438,355.79180908203125 , 0.8659363985061646) | (849.1202392578125,406.2532958984375,958.2056884765625,653.8597412109375 , 0.8429602980613708) | (1007.3356323242188,132.4141845703125,1085.956787109375,357.3819580078125 , 0.8056125044822693)"
